,Autosomal_dominant,Clinvar,Drug_bank,GWAS_nearest,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_all_SNPs_10kb,Genes_withSNPs_r01_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_r05_10kb,Haploinsufficient,MGI_essential,MissenseZ_Samocha,OMIM_diseasegenes,Olfactory,TF,Universe,eQTL_deficient,highPLI_Exac,highPhi,highShet_Cassa,high_EDS
0,0.2506247346624251,0.06319304576967552,0.3740893578630112,0.0569320138387284,0.14098667529519954,0.13854196937463997,0.14266603126841174,0.13541683133292,0.14903211057019733,0.1478179674867614,0.14719892256243775,0.14600020982862133,0.5718561103819735,0.11120898164880674,0.17087116076215952,0.11685972599326856,0.0,0.14063179307828994,0.0,0.2380080131081213,0.0928994325243409,0.2530273393002268,0.10183576347600559,0.11221003314427724
1,0.19066120664648137,0.06211119628584241,0.28514483389634365,0.05641631195751246,0.14098667529519954,0.13854196937463997,0.14266603126841174,0.1292800826555731,0.1468243697176891,0.13024485939180871,0.14719892256243775,0.1281004651510113,0.3816244893714382,0.09567522782213994,0.15225396388606746,0.11634751934406055,0.0,0.11276870283419727,0.0,0.22075729075845962,0.088537445490833,0.23458401558032668,0.09683662966319027,0.1003271407011145
2,0.24562432412162583,0.062470461357773274,0.24806106441876272,0.05635398778818475,0.1326128367836396,0.1300120256454762,0.14522058626681164,0.13762454786618633,0.1448259651084779,0.1325770028853728,0.14534200801365313,0.14060234527478238,0.41802604071781685,0.09855418126846582,0.14456524436151677,0.1093859531253261,1.249325843285321,0.11895301944310493,0.0,0.2901273418619458,0.08487902107082526,0.2325277618453526,0.09282080545080022,0.10893864081893799
3,0.19543657844000056,0.0624951825362442,0.2349248962247034,0.05699641987536448,0.15903602767813957,0.14936263110651934,0.17591258630784276,0.17017755284192693,0.1718276389863003,0.15729495310188682,0.1636640602296198,0.16692403661154695,0.4020254744239507,0.10012773470784891,0.13514099784505965,0.10795457841886606,0.0,0.11625238805227184,0.0,0.2629393187715859,0.0754893251197292,0.15460578407013417,0.08438629698779963,0.10121970492265413
4,0.21196476623653648,0.0582105298158745,0.3280486069637771,0.05491619964909593,0.16511067294320736,0.16468731224335298,0.16956774358411225,0.16018383332499544,0.17094241413116493,0.15480438282430145,0.16991548088599912,0.15813997070216051,0.2710775331170592,0.08614954209543126,0.12845440809332045,0.10367092334031296,1.24708891790332,0.08686595777371181,0.0,0.25397311506873066,0.07038260253590974,0.13129870593771076,0.08685167968971425,0.09780504151369401
5,0.16151363116985246,0.05832550472560277,0.33783267853027465,0.05504483459902538,0.17161970029047688,0.1788164013189076,0.17140819727593648,0.1617574027841813,0.17094241413116493,0.1720352251285875,0.16991548088599912,0.169091907734575,0.17190889572203674,0.07448112697820128,0.11362558576829407,0.1120634123429543,1.7620661811508767,0.0737073052753576,0.0,0.26888169897769587,0.07068386488671667,0.1537884256145493,0.0822778632278743,0.09229186192343654
6,0.15226492268374264,0.05829489994696868,0.307971835614838,0.055052874425161935,0.15114063673749595,0.148844852485396,0.15611028781305816,0.14697679370004557,0.16175435176227845,0.15675378970171777,0.15553890923514793,0.14807363544407579,0.2715620032101382,0.07151140062698041,0.11671686558533033,0.098435613650699,1.7652239752307841,0.06769118898258984,0.0,0.269356370835195,0.07282977778241374,0.158134621138478,0.0820595361190791,0.08154386423907083
7,0.1469770598874853,0.058094393617052056,0.14374266161435212,0.05391875052110504,0.17474279411130889,0.17582156141118324,0.17140819727593648,0.16930965172928755,0.17094241413116493,0.1645278653367075,0.16818060376261515,0.16296454758107817,0.24267823909727929,0.07085411866698406,0.11214360162156137,0.09966688060639778,0.0,0.07287326187728592,0.0,0.2380080131081213,0.06583830982688707,0.14077841225948817,0.07281469226231566,0.0882217686720697
8,0.1750075295312093,0.0611807804902052,0.2856511278238415,0.05281884519484761,0.16199234822645386,0.16988037766937145,0.16219509931476422,0.16203443114776866,0.15359277934908294,0.16165592531609155,0.1535700858976308,0.15841171023775188,0.2715620032101382,0.08020484212956483,0.12223241675018579,0.1025373144475531,1.249325843285321,0.06861374326633814,0.0,0.269356370835195,0.06926021039252606,0.1696864857995282,0.0795038705385909,0.08729413528694888
9,0.18353004361830486,0.062483059656509736,0.234505453630943,0.05531330573367934,0.13938300317174965,0.136895071454318,0.15213903964178804,0.12973232570098905,0.14733692454839842,0.13280865141090553,0.14559543328163393,0.13280865141090553,0.272048208040649,0.08077304625791977,0.11833312107894323,0.10466084994936309,1.2515708079026562,0.04585183352896204,0.0,0.16998179632390692,0.07687618351995616,0.18743010462095855,0.074376235632629,0.09110634650790857
