Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
,8914,,,9649,10383,,,9782,338917,23060,,4901,5196,2117,,6903,347051,10816,64130,27287,341405,929,10101
,8915,,,9667,10389,,,9820,339318,23070,,4907,5197,2118,,79629,140823,6795,255374,51286,5042,8646,148867
,8924,,,9670,10390,,,9839,339324,23089,,4909,5198,2119,,5366,30833,5366,145553,79003,7087,55644,116444
,8928,,,9681,10406,,,9841,339327,23090,,4913,5201,2120,,150677,353134,100271846,10383,9235,8431,101928527,440400
,8929,,,9682,10413,,,9842,339344,23092,,4914,5203,2121,,5657,27240,2876,2811,113246,10437,163126,3400
,8930,,,9690,10432,,,9896,339488,23095,,4915,5209,2122,,2907,84798,58,4826,92935,116444,6406,3350
,8936,,,9693,10444,,,9899,339500,23097,,4919,5212,2123,,3265,100289462,51016,100169851,124944,50836,338707,221416
,8943,,,9697,10450,,,9907,339559,23109,,4920,5213,2124,,3881,1673,643866,10660,3483,5554,1917,23741
,8976,,,9698,10452,,,9927,340069,23112,,4921,5214,2125,,390664,10023,3235,92086,122664,5555,7033,2877
,8985,,,9699,10468,,,9935,340252,23114,,4925,5218,2128,,3640,100130827,27288,6406,219995,1382,373863,10528
,8996,,,9700,10471,,,9939,340260,23118,,4928,5226,2130,,6355,64788,100288797,2785,29796,9144,642475,728489
,9001,,,9705,10472,,,9968,340385,23127,,4935,5228,2131,,389792,64096,126074,27304,51224,250,122970,2850
,9021,,,9715,10473,,,9973,340784,23129,,4942,5232,2132,,5005,84842,30814,8115,59274,29948,826,3002
,9031,,,9716,10479,,,9988,342132,23143,,4948,5236,2134,,389124,1748,24147,56903,54913,9623,1490,7280
,9037,,,9727,10480,,,9990,342357,23150,,4952,5243,2135,,1270,6835,3265,388581,682,11266,201965,140880
,9039,,,9732,10489,,,9992,342892,23154,,4956,5244,2137,,6846,90135,1901,2619,170572,219464,283232,8687
,9056,,,9733,10492,,,9997,342900,23180,,4968,5245,2138,,286380,728419,3491,80039,54931,389692,3671,118471
,9070,,,9734,10498,,,10000,342908,23181,,4976,5251,2139,,9002,728405,2689,9622,51561,64108,4946,9021
,9076,,,9736,10499,,,10008,342909,23187,,4978,5253,2140,,23212,728400,401427,23645,3868,168537,50489,127534
,9079,,,9739,10507,,,10049,342926,23187,,4982,5264,2145,,154150,728393,84826,10365,7471,1537,8689,7069
,9088,,,9743,10513,,,10058,342933,23194,,4983,5265,2146,,4201,728379,27439,3221,10343,6206,1565,402381
,9093,,,9745,10516,,,10059,342945,23201,,4987,5266,2147,,56033,728373,338442,51734,8786,127670,122011,5657
,9096,,,9746,10523,,,10060,343472,23208,,4990,5267,2149,,162699,728369,4654,10123,11187,1417,129807,56993
,9101,,,9757,10527,,,10075,343930,23228,,4998,5269,2150,,5554,5473,84984,65121,164592,2215,79862,379
,9113,,,9758,10528,,,10082,344018,23231,,5000,5270,2151,,29923,3856,11337,92359,56927,3222,401115,414301
,9114,,,9759,10538,,,10083,344022,23239,,5001,5272,2152,,8811,116519,6939,83638,84134,728361,100170765,284680
,9129,,,9771,10540,,,10084,344167,23245,,5002,5275,2153,,285601,4946,23401,730112,55957,647286,84948,9241
,9131,,,9775,10541,,,10102,344191,23269,,5009,5284,2155,,168620,79412,84206,83590,7425,6737,56944,3005
,9133,,,9776,10554,,,10111,344787,23279,,5015,5286,2157,,64693,285679,122416,7634,2785,8574,2999,729974
,9139,,,9777,10563,,,10117,345222,23286,,5018,5290,2158,,2353,2844,93100,390748,114902,51255,200728,100128569
,9146,,,9778,10574,,,10128,345462,23301,,5019,5291,2159,,26248,113189,429,84560,83552,3265,57126,1647
,9152,,,9781,10575,,,10133,346157,23302,,5030,5292,2160,,147807,8326,997,10589,1901,10362,9287,54461
,9182,,,9782,10576,,,10142,346171,23302,,5034,5293,2161,,26291,399823,1511,23741,1415,389151,390443,84651
,9184,,,9788,10586,,,10157,347344,23305,,5048,5295,2162,,2709,5453,5453,153743,374403,50964,54737,79037
,9212,,,9790,10594,,,10159,347853,23314,,5052,5298,2165,,79713,338442,8510,389123,23436,57817,3642,118670
,9219,,,9793,10598,,,10161,348327,23316,,5053,5305,2166,,90135,84984,79948,83597,440387,100507003,219557,91289
,9241,,,9794,10605,,,10165,349075,23321,,5054,5306,2167,,1747,79134,9241,100188893,55330,4312,220388,3853
,9244,,,9810,10612,,,10166,349334,23328,,5055,5307,2168,,401565,1901,338328,266812,80764,3882,54923,84262
,9247,,,9811,10613,,,10194,353088,23347,,5058,5308,2169,,131583,30814,3397,503834,114902,6143,116444,9573
,9254,,,9815,10614,,,10195,353274,23348,,5062,5309,2170,,54360,10078,255374,284257,83552,5650,10232,100505591
,9270,,,9821,10620,,,10210,353355,23363,,5063,5313,2171,,51016,8843,54360,5545,27231,149708,4951,388799
,9294,,,9826,10625,,,10216,360023,23365,,5069,5314,2172,,84262,653437,8843,10124,1843,10272,10929,91603
,9314,,,9828,10640,,,10225,360030,23380,,5071,5318,2173,,3315,113655,221908,100049587,6666,79923,79037,388552
,9318,,,9829,10643,,,10243,374655,23380,,5073,5320,2175,,284023,51504,11024,5535,5100,84247,5092,1735
,9319,,,9832,10652,,,10262,374879,23380,,5075,5321,2176,,84314,7316,5720,79191,94107,27166,610,128822
,9321,,,9839,10657,,,10269,374899,23387,,5076,5322,2177,,10660,399473,3231,84262,5162,79873,58,7259
,9334,,,9844,10658,,,10280,374900,23389,,5077,5324,2178,,441869,116173,55365,6666,11006,153572,1145,55138
,9353,,,9846,10659,,,10295,374928,23414,,5078,5325,2180,,968,3642,1396,3231,147807,8637,8666,3201
,9355,,,9848,10660,,,10312,378708,23426,,5080,5327,2181,,58498,25876,84817,1890,116729,54785,6274,2981
,9368,,,9853,10664,,,10319,387032,23446,,5083,5328,2182,,23557,79228,84314,84203,168537,730130,200810,59286
,9369,,,9854,10673,,,10342,387332,23466,,5087,5329,2184,,3211,79713,285601,124093,27232,3195,50838,1028
,9371,,,9857,10678,,,10369,388112,23468,,5091,5331,2185,,5919,255374,58485,389813,390594,1490,26472,81472
,9379,,,9858,10682,,,10370,388523,23484,,5092,5332,2186,,1337,7137,2830,245911,84069,26952,125919,27129
,9394,,,9861,10691,,,10371,388536,23493,,5095,5334,2187,,100287404,123103,387273,643669,55273,10136,7056,55365
,9412,,,9869,10694,,,10381,388558,23500,,5096,5335,2188,,55194,1208,84798,91319,116534,3491,100128927,5004
,9414,,,9873,10716,,,10397,388559,23507,,5097,5336,2189,,3238,2830,260434,64111,613211,339976,408263,390594
,9419,,,9874,10728,,,10456,388561,23509,,5101,5337,2191,,644524,1325,26515,116844,2637,4654,118881,29125
,9421,,,9877,10735,,,10461,388566,23516,,5105,5338,2192,,6835,2693,100287205,5919,140947,56927,339390,79025
,9423,,,9879,10736,,,10466,388567,23522,,5106,5339,2193,,43847,3640,2980,2637,5568,8822,8431,245911
,9427,,,9887,10746,,,10479,388569,23528,,5111,5340,2194,,6356,168455,56903,3215,30833,54478,10437,4618
,9444,,,9889,10766,,,10483,388585,23529,,5116,5341,2195,,51477,712,55450,90120,6289,256297,2302,51301
,9448,,,9892,10768,,,10484,389058,23531,,5119,5345,2196,,4487,643669,6496,90809,388722,2169,342979,136541
,9451,,,9895,10769,,,10516,389114,23539,,5122,5351,2197,,1476,282618,1812,100288797,79165,5192,7066,339453
,9464,,,9898,10771,,,10518,389421,23541,,5130,5356,2199,,2831,728419,145553,6286,1535,339145,50836,6545
,9472,,,9901,10787,,,10528,389524,23544,,5137,5360,2200,,26145,728405,11035,1337,4956,29946,3483,56269
,9474,,,9902,10810,,,10535,389549,23576,,5139,5361,2201,,159296,728400,80757,221833,81844,91300,389320,100191040
,9475,,,9908,10813,,,10555,389692,23603,,5140,5364,2202,,3221,728393,3315,643866,6610,80023,400797,728929
,9476,,,9909,10815,,,10558,390010,23635,,5144,5366,2203,,219557,728379,27287,554235,135886,401097,51218,146429
,9479,,,9912,10818,,,10559,390259,23637,,5145,5371,2204,,138065,728373,400831,389124,390010,9510,92305,250
,9496,,,9915,10856,,,10560,390598,23648,,5146,5378,2205,,84643,728369,84842,6496,8510,50487,1474,55228
,9510,,,9922,10857,,,10564,390874,23650,,5147,5393,2206,,353133,608,26521,55194,100288520,251,168537,1050
,9512,,,9924,10865,,,10568,390927,23657,,5148,5394,2207,,6181,64146,924,128240,29985,3280,9002,251
,9517,,,9926,10869,,,10577,390980,23671,,5149,5396,2208,,1419,140825,250,3816,8784,388284,100423062,51734
,9520,,,9927,10879,,,10585,390992,23683,,5155,5408,2209,,388552,2300,7832,51286,100287327,284257,54985,9144
,9521,,,9931,10890,,,10594,391723,23704,,5156,5420,2210,,2301,59274,116844,1351,100287364,376132,127670,554235
,9531,,,9939,10891,,,10599,399823,23705,,5157,5423,2212,,256933,160298,165257,116986,27166,27239,643988,100130933
,9542,,,9943,10904,,,10653,400713,23743,,5158,5428,2213,,653499,375318,55321,84667,29098,4951,1812,345651
,9547,,,9948,10905,,,10682,400720,23746,,5159,5430,2214,,3963,1473,100303755,1746,643853,65997,5266,653689
,9559,,,9949,10912,,,10686,402381,23759,,5160,5431,2215,,84842,10647,3578,6618,284021,1032,11166,2953
,9564,,,9958,10914,,,10699,403341,23767,,5161,5437,2217,,137814,2706,828,23612,80032,503841,146167,1392
,9569,,,9960,10916,,,10715,404281,23768,,5162,5444,2218,,3880,729759,30833,84314,1490,245909,5551,164668
,9573,,,9967,10921,,,10717,431707,23768,,5164,5447,2219,,126823,81399,1535,1329,143501,134288,140832,1476
,9584,,,9968,10923,,,10743,440077,23769,,5165,5452,2220,,282618,26683,140459,712,26952,132332,126402,116842
,9586,,,9969,10926,,,10747,440097,24147,,5167,5454,2222,,84798,8302,10332,65122,646486,221833,578,1991
,9589,,,9972,10927,,,10804,440515,25758,,5172,5460,2224,,51289,26521,353134,284023,9158,5047,51491,116540
,9611,,,9978,10938,,,10806,440519,25769,,5173,5464,2230,,132112,256329,153,6835,3851,354,54627,64112
,9612,,,9987,10943,,,10841,440695,25778,,5176,5465,2232,,4902,400668,6590,6171,3491,100128731,9143,441478
,9618,,,9988,10945,,,10847,441234,25797,,5179,5467,2235,,27439,100188893,138065,147808,56931,9028,58492,6286
,9620,,,9989,10946,,,10908,442319,25802,,5184,5468,2237,,11024,256933,127687,8811,8822,201243,11025,4250
,9631,,,9990,10949,,,10913,442425,25805,,5188,5469,2239,,392391,100271846,5655,5544,93650,378925,56160,646450
,9647,,,9991,10951,,,10939,503582,25816,,5189,5473,2241,,128240,58485,9143,137814,80347,22822,1735,10519
,9653,,,10000,10952,,,10947,503834,25817,,5190,5481,2242,,2056,83982,84643,27287,7480,6183,1992,5545
,9693,,,10010,10957,,,10999,503835,25818,,5191,5493,2243,,92359,3881,728419,80772,6130,65121,353141,54512
,9700,,,10013,10959,,,11005,619279,25822,,5192,5494,2244,,3856,348,728405,4081,400831,54931,4153,124975
,9757,,,10014,10961,,,11019,641339,25830,,5193,5495,2245,,6346,84826,728400,64714,162998,441478,30835,57132
,9759,,,10018,10962,,,11023,642658,25891,,5194,5496,2246,,379,5655,728393,3270,65122,1521,344561,5554
,9774,,,10036,10963,,,11078,642819,25894,,5195,5498,2247,,448831,2981,728379,83756,3982,57369,100125288,4656
,9786,,,10048,10970,,,11081,643836,25897,,5199,5506,2248,,389058,168620,728373,26521,9510,245929,362,51561
,9787,,,10049,10979,,,11093,644168,25925,,5205,5511,2249,,1325,4654,728369,94032,2703,51728,6666,8302
,9794,,,10052,10982,,,11107,644524,25937,,5213,5514,2250,,57105,126789,2529,100507588,6181,79072,89872,2814
,9814,,,10054,10983,,,11128,645832,25959,,5216,5520,2251,,100288797,10332,256329,100505591,5997,164592,79413,54923
,9817,,,10055,10987,,,11136,647219,25976,,5224,5523,2252,,3483,3738,5462,84842,85025,6370,645811,10273
,9820,,,10056,11011,,,11141,647589,25981,,5225,5524,2253,,112483,54958,100131378,7538,646480,147407,6297,3015
,9821,,,10061,11013,,,11154,649137,25987,,5226,5529,2254,,8553,344,6274,81620,401944,101928527,51728,4951
,9829,,,10075,11016,,,11155,652991,26010,,5230,5530,2255,,8928,165257,7634,1476,653437,4878,348180,79003
,9837,,,10076,11021,,,11160,653121,26011,,5236,5531,2256,,51734,728929,8620,9935,27338,9287,79763,401934
,9839,,,10079,11030,,,11222,653404,26018,,5238,5534,2257,,911,1511,1409,910,6576,64745,143244,10272
,9862,,,10087,11034,,,11231,653427,26030,,5243,5536,2258,,389813,100191040,10647,6657,79037,339366,55658,513
,9863,,,10090,11040,,,11232,654254,26033,,5244,5538,2259,,339451,3222,4946,10263,2916,79444,30827,3352
,9869,,,10093,11043,,,11234,727857,26040,,5250,5539,2260,,3231,6230,79862,7032,126520,54732,10382,339230
,9891,,,10094,11047,,,11235,727940,26045,,5251,5547,2261,,6206,653598,7316,6137,57418,221044,7809,30012
,9894,,,10096,11051,,,11253,728116,26051,,5255,5549,2262,,201232,653505,362,118670,359,163033,4316,138716
,9904,,,10097,11063,,,11277,728361,26052,,5256,5551,2263,,10272,647286,126393,387758,100130827,363,56927,51255
,9915,,,10098,11070,,,11281,728927,26053,,5257,5557,2264,,84681,43847,123103,10289,54863,8741,148252,3222
,9927,,,10109,11072,,,11284,728957,26064,,5261,5558,2266,,2980,254439,410,124044,3586,375318,147808,200523
,9935,,,10121,11073,,,11285,729288,26086,,5264,5562,2267,,57817,339976,6834,389792,4849,150094,128346,100188893
,9943,,,10129,11075,,,11315,729747,26091,,5265,5573,2268,,9143,5551,4826,415116,10536,63973,388722,125115
,9948,,,10135,11079,,,11322,730051,26119,,5269,5575,2271,,64714,79948,6879,11318,5438,5957,91300,147664
,9957,,,10146,11083,,,22845,730087,26137,,5270,5576,2272,,441168,54360,126119,254439,6368,100288797,401097,92305
,9962,,,10147,11091,,,22852,730291,26166,,5271,5578,2273,,126393,11035,25876,348,388799,1748,83881,4707
,9965,,,10150,11100,,,22856,731220,26191,,5273,5579,2274,,1474,8741,3543,84330,129025,6666,54869,116519
,9968,,,10152,11112,,,22858,100101467,26207,,5274,5580,2275,,2297,390664,64108,339390,29928,199834,124975,6368
,9978,,,10154,11127,,,22868,100125288,26287,,5277,5581,2277,,3622,7832,3640,730130,8744,10841,84808,51504
,9984,,,10155,11129,,,22897,100128927,26289,,5279,5583,2280,,6406,388015,2706,79192,9401,5100,388115,643669
,9985,,,10162,11141,,,22930,100129543,26298,,5283,5584,2281,,6137,5462,611,4946,51160,4946,1032,83756
,9986,,,10163,11142,,,22931,100129654,26339,,5290,5586,2286,,256329,56413,1473,373863,10670,100289462,6698,6171
,9988,,,10171,11143,,,22934,100129842,26508,,5293,5587,2287,,79178,6280,8553,8741,6370,1673,221833,92104
,9997,,,10178,11151,,,22948,100130086,26509,,5295,5588,2288,,84948,84206,441581,79165,912,115939,5047,94032
,10006,,,10180,11152,,,22954,100131017,26953,,5296,5590,2289,,160298,5093,8688,124222,6939,4188,9022,6666
,10018,,,10181,11157,,,22995,100131390,26985,,5297,5591,2290,,7538,100288520,132112,79228,387911,3233,9028,55049
,10020,,,10194,11159,,,22999,100131539,26998,,5306,5592,2294,,403339,51016,79228,2999,84694,403339,7032,127707
,10021,,,10197,11165,,,23020,100131827,26999,,5307,5593,2295,,10816,7634,51537,79003,374659,388564,648791,668
,10036,,,10203,11176,,,23064,100131980,27022,,5308,5594,2296,,11202,8553,54905,554313,1370,126382,57761,201232
,10044,,,10210,11177,,,23085,100132074,27023,,5309,5595,2297,,5462,57105,3222,121504,51303,28959,100463289,285679
,10048,,,10220,11198,,,23090,100132396,27086,,5310,5596,2298,,64111,6795,43847,8370,653604,1265,51224,1073
,10049,,,10235,11235,,,23092,100271849,27087,,5311,5603,2299,,643669,2707,94032,8368,333932,113179,79923,1473
,10054,,,10236,11248,,,23095,100287226,27089,,5313,5604,2300,,63875,6834,140825,8366,126961,128344,3239,4902
,10059,,,10243,11249,,,23096,100288687,27092,,5314,5605,2301,,64108,159296,6703,8367,81889,729974,1052,159296
,10063,,,10250,11250,,,23118,100289635,27092,,5317,5606,2302,,441871,100507050,56033,8365,2302,65990,682,29796
,10075,,,10253,11254,,,23133,100289678,27095,,5318,5607,2303,,5720,126393,9935,8364,91603,29107,6183,1329
,10087,,,10262,11275,,,23135,100293516,27115,,5320,5608,2304,,7137,83942,256933,8362,7138,201232,65121,1051
,10094,,,10270,11278,,,23169,100381270,27120,,5321,5617,2305,,127540,11041,7546,8363,9144,26232,6234,5988
,10096,,,10274,11282,,,23171,100506164,27128,,5324,5618,2306,,1396,1672,8698,8361,363,340359,5986,1233
,10111,,,10277,11313,,,23175,100507290,27141,,5325,5621,2307,,909,6206,285613,8360,9744,3589,5093,113746
,10135,,,10290,11315,,,23189,101060200,27145,,5328,5624,2308,,79924,828,168455,8359,374897,399967,56832,140825
,10139,,,10291,11325,,,23209,,27164,,5332,5625,2309,,2307,2197,83597,8294,53637,53842,29928,2300
,10146,,,10294,11334,,,23218,,27165,,5333,5629,2312,,51367,5650,284451,58,2693,5535,3569,54541
,10155,,,10297,11337,,,23224,,27190,,5334,5639,2313,,3642,3005,3234,128822,643664,684,646960,23627
,10163,,,10318,11346,,,23229,,27239,,5336,5646,2314,,161253,1270,8811,113457,7259,116844,126520,53842
,10194,,,10320,22806,,,23230,,27245,,5337,5649,2315,,4821,100463482,344,7278,5539,2873,51042,3640
,10203,,,10336,22808,,,23236,,27250,,5339,5650,2317,,8744,55651,608,127534,3182,100130733,2950,161779
,10215,,,10363,22818,,,23261,,27250,,5340,5654,2318,,150248,401565,348,30814,339976,9935,284023,611
,10220,,,10368,22828,,,23295,,27253,,5345,5657,2319,,389151,6939,5224,8484,389332,5267,83758,390748
,10229,,,10369,22834,,,23314,,27289,,5346,5660,2321,,10870,4860,4617,6230,57409,10519,1050,10871
,10243,,,10371,22839,,,23321,,27296,,5350,5672,2322,,873,694,55009,390205,64951,2542,1443,6139
,10252,,,10381,22841,,,23322,,27303,,5351,5673,2323,,10332,126014,408263,148109,5266,414919,1442,79174
,10253,,,10383,22843,,,23345,,27319,,5352,5678,2324,,6363,219557,5650,54512,54836,284184,127943,84301
,10266,,,10388,22848,,,23363,,27324,,5354,5681,2326,,6834,4056,2707,6834,401934,53831,286887,6248
,10269,,,10389,22849,,,23384,,27329,,5358,5684,2327,,23521,124093,5196,250,3713,653404,147407,59274
,10273,,,10390,22862,,,23385,,27345,,5359,5685,2328,,578,116541,116,24147,1933,432,339453,122970
,10277,,,10395,22864,,,23389,,27347,,5362,5686,2329,,149563,6139,345,1237,2208,116540,149708,10224
,10290,,,10396,22866,,,23396,,27436,,5365,5687,2330,,362,79444,127707,9982,91300,387082,23401,391356
,10291,,,10401,22870,,,23400,,27443,,5373,5688,2331,,4946,1535,125988,611,2020,57402,30062,1325
,10293,,,10413,22878,,,23405,,28232,,5375,5693,2332,,79177,387758,387758,1991,59307,84432,10273,5224
,10295,,,10419,22880,,,23414,,28316,,5376,5695,2334,,3201,6879,399823,388799,2907,113457,5267,79413
,10296,,,10425,22884,,,23418,,28514,,5378,5696,2335,,5967,55009,5551,220388,58492,7278,387778,51116
,10298,,,10426,22890,,,23424,,28951,,5393,5697,2339,,2299,8484,2197,338328,56160,125919,7054,6359
,10312,,,10427,22907,,,23426,,28958,,5395,5698,2342,,7471,84330,84330,79006,400830,1511,1417,429
,10318,,,10432,22919,,,23431,,28964,,5396,5702,2346,,7167,51477,51734,10738,339456,148252,390205,3221
,10320,,,10439,22929,,,23435,,28981,,5406,5708,2348,,5032,100506888,9002,51116,29850,100128927,1337,3882
,10365,,,10444,22931,,,23438,,28996,,5420,5709,2350,,79862,63974,10519,5224,127707,2853,1316,125988
,10370,,,10450,22932,,,23474,,28999,,5422,5715,2352,,5105,1812,341405,2981,26525,5068,127534,100129669
,10371,,,10452,22936,,,23479,,29109,,5423,5723,2353,,3355,56927,116173,5626,340146,400831,63973,3562
,10381,,,10468,22938,,,23495,,29119,,5424,5726,2354,,7316,6232,100288520,729627,653333,93611,2671,10022
,10384,,,10472,22948,,,23503,,29127,,5426,5727,2355,,3443,7546,2658,6217,196483,53827,27231,2529
,10409,,,10479,22976,,,23522,,29765,,5428,5728,2356,,124222,3201,2116,283870,27439,65122,644524,2815
,10413,,,10480,22982,,,23529,,29766,,5429,5738,2357,,56936,643866,390748,2353,81623,8553,5554,219
,10419,,,10482,22983,,,23530,,29851,,5435,5739,2358,,284680,145553,646960,389383,1188,6727,5555,714
,10427,,,10489,22985,,,23545,,29940,,5443,5744,2359,,56413,283377,728419,1132,140850,25796,1073,50616
,10454,,,10492,22992,,,23554,,29942,,5447,5745,2395,,552889,2173,728405,285093,122961,8815,126326,389320
,10460,,,10498,22997,,,23556,,29949,,5449,5747,2444,,390243,81543,728400,56936,694,3651,387837,55194
,10468,,,10499,23001,,,23562,,29969,,5455,5753,2475,,4656,5366,728393,134391,1178,53822,5462,3233
,10472,,,10507,23002,,,23590,,29970,,5456,5757,2483,,390748,2116,728379,57369,10287,3083,6143,57369
,10498,,,10513,23008,,,23592,,29974,,5459,5764,2487,,79134,997,728373,9143,6207,100462983,58485,643866
,10499,,,10516,23013,,,23594,,30009,,5468,5768,2488,,712,9143,728369,6903,284207,390443,377007,1537
,10512,,,10523,23019,,,23598,,30010,,5475,5770,2491,,145553,554313,728419,25770,91663,3235,59286,3889
,10521,,,10525,23020,,,23600,,30061,,5476,5771,2492,,8698,121504,728405,9296,5216,4849,6209,84722
,10522,,,10526,23030,,,23607,,30811,,5479,5780,2494,,163033,8370,728400,255043,203190,83597,1146,6799
,10524,,,10527,23034,,,23636,,30812,,5498,5781,2495,,3002,8368,728393,3201,375759,5162,115939,1409
,10525,,,10528,23036,,,23639,,30845,,5500,5784,2512,,55850,8366,728379,3235,113457,4323,5439,51693
,10533,,,10540,23038,,,23676,,50508,,5506,5788,2515,,81620,8367,728373,83451,7278,2709,654429,8899
,10539,,,10541,23039,,,23746,,50515,,5511,5789,2516,,5453,8365,728369,6407,51759,128822,49,388199
,10541,,,10554,23040,,,23765,,50604,,5518,5792,2517,,124944,8364,6230,150786,375387,388730,6206,6320
,10544,,,10564,23043,,,24140,,50618,,5519,5793,2519,,2693,8362,4860,84084,83881,100289462,6368,5626
,10555,,,10565,23047,,,24148,,50619,,5523,5794,2520,,1511,8363,10022,388951,6676,1673,80332,410
,10558,,,10574,23049,,,25782,,50801,,5528,5795,2521,,10263,8361,682,51537,10732,3767,5119,168537
,10559,,,10575,23057,,,25793,,50855,,5530,5796,2523,,5655,8360,389813,56033,79981,6232,58157,2812
,10564,,,10576,23060,,,25814,,50863,,5537,5797,2524,,554313,8359,3201,3005,6404,160298,342918,23547
,10568,,,10592,23070,,,25821,,50937,,5538,5798,2525,,121504,8294,401498,8402,8636,126402,148304,285643
,10585,,,10594,23072,,,25836,,51008,,5544,5799,2526,,8370,57124,6363,160065,11250,340069,389123,116844
,10586,,,10598,23077,,,25839,,51043,,5551,5801,2527,,8368,1409,5739,84299,6727,3060,257177,168455
,10587,,,10605,23082,,,25886,,51062,,5565,5814,2528,,8366,286380,388333,4617,29802,27350,29107,1933
,10589,,,10612,23089,,,25914,,51063,,5566,5825,2529,,8367,1417,5267,83547,254439,84826,340393,56936
,10614,,,10613,23090,,,25915,,51090,,5568,5827,2530,,8365,8818,388564,10215,347734,10738,1419,390999
,10617,,,10614,23091,,,25939,,51106,,5569,5829,2531,,8364,388531,100170765,146429,9232,2835,150094,1812
,10620,,,10620,23095,,,25974,,51148,,5573,5832,2532,,8362,64130,2811,3875,6425,578,652968,3202
,10625,,,10625,23097,,,25978,,51161,,5579,5836,2533,,8363,730112,126789,552889,100130933,64403,163154,6181
,10630,,,10640,23099,,,26040,,51176,,5580,5837,2534,,8361,653604,56927,55850,648791,54863,100130733,255374
,10631,,,10642,23109,,,26046,,51181,,5582,5859,2535,,8360,333932,283870,344,55644,3586,79003,26472
,10636,,,10643,23112,,,26047,,51195,,5587,5863,2537,,8359,126961,3738,199746,391253,6368,9435,91304
,10637,,,10644,23118,,,26058,,51196,,5589,5866,2538,,8294,6496,148170,284680,222171,140679,84722,8941
,10641,,,10657,23119,,,26090,,51199,,5590,5869,2539,,552900,6217,552889,150677,83854,388199,342900,3215
,10642,,,10658,23126,,,26119,,51200,,5591,5871,2542,,654483,79862,414325,143501,65121,51399,8574,646480
,10653,,,10659,23129,,,26121,,51225,,5592,5874,2543,,653598,8811,55894,3002,66002,55009,116540,55257
,10655,,,10664,23132,,,26123,,51232,,5594,5878,2547,,653505,6576,138307,345,7855,79724,27166,2220
,10657,,,10673,23133,,,26154,,51232,,5598,5884,2548,,64951,3315,4161,200350,400735,113746,210,390259
,10658,,,10691,23135,,,26160,,51255,,5602,5885,2549,,51287,138307,1208,389125,5093,100133251,2811,26525
,10660,,,10694,23149,,,26227,,51268,,5604,5890,2550,,5986,504180,63973,347734,5021,100131608,1511,133
,10661,,,10714,23151,,,26229,,51279,,5605,5893,2551,,27287,245908,386653,116173,221091,6132,219793,5441
,10664,,,10716,23152,,,26249,,51285,,5611,5899,2553,,245929,10022,6288,401498,84667,54943,4188,5042
,10672,,,10725,23154,,,26275,,51294,,5613,5903,2554,,145741,3235,283999,79412,10627,3642,245939,340069
,10677,,,10730,23160,,,26276,,51308,,5618,5906,2555,,389383,728419,654231,402317,60598,56936,187,81889
,10681,,,10732,23161,,,26277,,51310,,5621,5908,2556,,929,728405,116444,346528,2215,51303,326,6360
,10683,,,10735,23162,,,26278,,51317,,5624,5909,2557,,6795,728400,161253,2300,1443,3625,1339,64130
,10695,,,10743,23168,,,26353,,51339,,5625,5913,2558,,151516,728393,5901,285679,1442,83446,390748,10123
,10716,,,10746,23185,,,26503,,51347,,5626,5915,2559,,1043,728379,440955,23625,84203,391003,5437,56903
,10725,,,10767,23186,,,26504,,51365,,5627,5920,2560,,1417,728373,6217,3222,126393,170589,552889,123103
,10728,,,10768,23193,,,26525,,51421,,5631,5922,2562,,4696,728369,642968,3622,10017,140625,23741,6201
,10733,,,10769,23196,,,26580,,51450,,5644,5923,2563,,1802,728419,54205,5348,286887,113655,646643,5645
,10736,,,10771,23197,,,27010,,51474,,5648,5925,2564,,157638,728405,728419,54107,54205,55337,126206,5644
,10743,,,10787,23201,,,27019,,51517,,5649,5926,2565,,163933,728400,728405,5004,100130311,170370,1401,8688
,10762,,,10808,23208,,,27030,,51523,,5651,5929,2567,,340146,728393,728400,10309,391003,132625,55257,153
,10763,,,10810,23211,,,27031,,51555,,5654,5930,2568,,138162,728379,728393,516,645414,80332,645432,126789
,10769,,,10813,23214,,,27032,,51562,,5657,5932,2569,,344,728373,728379,149563,165140,339123,100462983,146852
,10772,,,10818,23219,,,27034,,51564,,5660,5933,2570,,100287441,728369,728373,414062,80233,387914,100507003,10289
,10782,,,10846,23228,,,27077,,51651,,5663,5934,2571,,11065,79006,728369,27232,339453,122664,339291,200810
,10787,,,10847,23229,,,27086,,51673,,5664,5937,2572,,127534,5224,728419,100129669,338707,3578,2523,219938
,10797,,,10856,23235,,,27089,,51696,,5682,5939,2574,,83756,283999,728405,51224,3151,257236,340024,1585
,10818,,,10865,23241,,,27130,,51701,,5683,5949,2580,,10647,6141,728400,8993,113746,84330,84824,124093
